,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment
360791,4937,20000,2,5,2,61,5,0,1,4,-1,-2,-81830,390,390,387635,53893,-105010,390,390,245513,0,253593,0,1
360792,4937,20000,2,0,3,24,-2,-1,-1,-1,2,6,390,390,390,891536,767831,0,390,390,534986,0,313815,407564,1
360793,4937,678620,1,4,3,38,1,7,3,1,0,-2,930258,390,508209,840353,0,0,631656,390,780,0,205792,222971,1
360794,25680,20000,2,4,0,36,3,-1,-1,6,-1,3,697703,318104,390,555502,155389,0,390,390,780,0,0,14062,0
360795,4937,278693,1,2,2,26,-1,-1,1,-2,-1,3,822048,645430,273754,-78137,87123,235397,390,390,826990,0,175207,0,0
360796,25680,20000,2,4,0,36,3,4,-1,6,-1,3,697703,318104,390,555502,155389,0,390,390,780,0,0,14062,1
360797,14141,20000,1,2,3,61,-2,-1,5,-1,-1,5,-44069,793502,390,514407,0,0,357555,390,189559,0,32485,0,0
360798,4937,608425,1,4,0,22,-1,-1,8,8,8,-2,906044,630418,498738,592986,635874,152324,730507,390,856943,0,407218,25703,1
360799,4937,20000,2,1,0,62,7,-1,-1,-1,2,7,350956,142735,513742,780,0,0,390,390,786703,332394,80578,266551,1
360800,15529,220648,2,6,2,26,3,3,8,6,3,-2,659107,816044,692400,574283,566688,0,445714,390,780,0,399146,0,0
360801,11459,441472,1,4,0,72,-1,6,3,2,7,4,902003,390,117718,780,883607,524120,309865,390,772026,600524,0,0,0
360802,12753,20000,1,1,1,42,5,7,2,2,6,5,805547,390,-49007,780,0,375787,812870,390,595276,0,283833,0,0
360803,4937,917770,1,1,1,65,-1,1,7,8,-2,0,190286,390,276847,344645,353601,347883,764010,390,780,0,376714,384299,1
360804,24566,793246,1,1,2,60,5,6,0,-2,-1,5,836800,911941,623721,672473,562556,0,390,476734,780,0,277139,433806,1
360805,4937,608425,1,4,0,22,-1,-2,8,8,8,-2,906044,630418,498738,592986,635874,152324,730507,390,856943,0,407218,25703,1
360806,4789,402219,1,2,3,52,2,0,0,0,0,0,107269,106791,105262,46605,871668,46204,4449,2731,87087,5000,3000,3000,0
360807,4789,435571,1,2,1,28,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,0
360808,21370,675267,1,2,2,52,2,0,0,0,0,0,107269,106791,105262,46605,520627,46204,4449,2731,3000,5000,3000,3000,1
360809,4789,918468,1,6,1,52,2,0,0,0,0,0,107269,106791,564491,46605,45590,46204,38793,2731,3000,5000,3000,3000,1
360810,26898,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,866785,46204,4449,2731,3000,5000,3000,3000,1
360811,22515,120000,1,2,1,73,2,0,0,0,0,0,107269,106791,105262,46605,45590,117792,4449,1195991,3000,5000,3000,3000,1
360812,14225,120000,1,2,1,52,2,4,0,0,0,0,107269,106791,105262,331970,45590,46204,4449,2731,3000,5000,3000,3000,0
360813,21370,675267,1,2,2,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360814,18267,178987,1,2,1,52,2,1,0,0,0,0,107269,525723,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360815,21705,664485,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360816,21759,120000,1,2,1,52,2,0,6,0,0,0,107269,480270,105262,46605,45590,46204,4449,2731,512739,5000,3000,3000,1
360817,14312,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,1071006,3000,5000,3000,3000,1
360818,13560,120000,1,2,1,75,2,1,0,0,0,0,107269,106791,105262,46605,45590,164503,4449,2731,3000,5000,3000,3000,0
360819,23707,120000,1,2,1,52,2,-1,0,0,0,0,107269,293171,105262,889042,45590,46204,4449,2731,3000,5000,3000,3000,1
360820,26829,120000,1,0,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,303221,3000,5000,3000,3000,1
360821,14312,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,297032,46204,4449,1071006,376775,5000,3000,3000,1
360822,4789,835895,1,2,1,52,2,0,0,-1,0,0,107269,106791,105262,46605,45590,46204,4449,403507,3000,5000,3000,3000,1
360823,9921,964845,1,2,1,52,2,0,0,0,0,7,107269,106791,105262,46605,45590,458841,4449,2731,3000,5000,3000,3000,1
360824,4789,675003,1,2,1,52,2,0,0,0,0,6,107269,106791,105262,-112515,45590,46204,4449,2731,3000,5000,3000,79246,0
360825,4789,120000,1,2,0,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,811866,4449,352089,513821,5000,3000,3000,1
360826,10992,120000,2,2,1,52,2,0,0,0,0,0,107269,106791,852443,777181,45590,46204,4449,2731,3000,5000,3000,3000,0
360827,4789,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,-3393,700233,4449,483903,3000,5000,3000,3000,1
360828,16659,312393,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,452330,46204,4449,2731,3000,5000,3000,3000,1
360829,25030,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,436707,45590,46204,4449,2731,3000,5000,3000,3000,1
360830,4789,120000,1,2,1,52,2,0,0,0,0,0,107269,578159,105262,45675,102342,46204,4449,1160206,3000,5000,3000,3000,0
360831,26898,120000,1,2,1,52,2,-2,0,0,0,0,107269,106791,105262,46605,866785,46204,4449,2731,3000,5000,3000,3000,1
360832,4789,120000,1,2,1,52,2,0,0,0,0,0,107269,957838,105262,46605,741088,643687,4449,2731,3000,5000,333703,3000,1
360833,20429,120000,1,2,1,52,2,0,0,0,0,0,184247,106791,173848,46605,45590,46204,4449,621021,3000,5000,3000,3000,1
360834,4789,893613,1,2,1,52,2,5,0,-2,0,0,107269,106791,105262,46605,505748,46204,4449,2731,3000,5000,3000,3000,1
360835,29743,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,851419,45590,46204,4449,2731,3000,5000,3000,3000,0
360836,28471,120000,1,2,1,52,2,0,0,0,0,0,151807,106791,743259,46605,45590,46204,4449,2731,841729,5000,3000,3000,1
360837,4789,120000,1,2,1,52,2,3,0,0,0,0,744562,106791,105262,46605,444727,46204,4449,2731,643561,5000,3000,3000,0
360838,4789,120000,1,2,1,52,2,-2,0,0,0,0,107269,106791,21269,231418,553790,46204,4449,2731,3000,5000,3000,3000,1
360839,4789,559614,1,3,1,52,2,0,0,5,0,0,107269,106791,105262,46605,674570,46204,4449,2731,3000,5000,3000,3000,1
360840,14225,120000,1,2,1,51,2,4,0,0,0,0,107269,106791,105262,331970,45590,46204,4449,2731,3000,5000,3000,3000,0
360841,18340,120000,1,2,1,52,2,0,0,1,0,0,107269,106791,64989,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360842,15159,120000,1,1,1,52,2,0,0,0,0,0,900064,401756,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360843,22716,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,841604,1012345,3000,5000,3000,3000,0
360844,4789,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,-26171,46605,45590,46204,4449,199695,3000,5000,3000,3000,1
360845,13878,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,794002,3000,5000,3000,3000,1
360846,13408,242050,1,5,1,52,2,0,0,0,0,0,107269,106791,788325,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360847,29480,120000,1,2,1,52,2,0,0,-2,0,0,107269,816296,105262,-104069,45590,46204,4449,2731,3000,5000,3000,3000,1
360848,4789,491650,1,2,1,52,2,0,0,0,0,0,748532,106791,105262,46605,99779,46204,4449,790312,3000,5000,3000,3000,1
360849,4789,120000,1,2,1,52,2,0,0,0,0,2,107269,106791,36954,22474,45590,46204,4449,232780,3000,5000,3000,3000,1
360850,25851,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,319687,45590,46204,4449,2731,3000,5000,3000,3000,1
360851,4789,895051,1,2,1,52,2,0,0,0,0,0,107269,106791,715864,-160490,45590,46204,4449,2731,3000,5000,3000,3000,0
360852,18340,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,64989,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360853,18340,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,64989,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360854,4789,435571,1,2,1,28,2,0,4,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360855,25851,120000,1,2,1,52,2,0,4,0,0,3,107269,106791,105262,319687,45590,46204,4449,2731,3000,5000,3000,3000,1
360856,22716,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,1012345,3000,5000,3000,3000,1
360857,4789,120000,1,2,2,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,354565,4449,870826,3000,5000,3000,3000,1
360858,21759,120000,1,2,1,52,2,0,0,0,0,0,107269,480270,105262,46605,45590,46204,4449,2731,512739,5000,3000,3000,1
360859,26829,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,303221,3000,5000,3000,3000,1
360860,4789,82698,2,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,969300,3000,5000,3000,3000,1
360861,22146,32567,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,7536,3000,0
360862,24807,621583,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360863,4789,383052,1,2,1,52,2,0,0,0,0,0,107269,106791,252235,505258,45590,304235,4449,2731,3000,5000,3000,3000,1
360864,27356,120000,1,2,1,52,2,0,0,0,0,4,437028,106791,105262,46605,45590,46204,4449,2731,3000,247487,3000,3000,0
360865,4789,120000,1,2,1,26,2,0,0,0,0,-1,107269,894804,105262,46605,-32888,46204,4449,2731,3000,5000,3000,3000,1
360866,13871,120000,2,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,104194,3000,5000,3000,3000,0
360867,4789,818174,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,-135317,130188,46204,4449,405492,3000,5000,3000,3000,1
360868,22377,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,693727,225077,4449,2731,3000,5000,231646,3000,1
360869,22716,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,663147,45590,46204,841604,1012345,3000,5000,3000,3000,1
360870,17784,878711,1,2,1,24,2,1,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360871,4789,120000,2,2,1,52,2,0,0,1,0,0,107269,106791,105262,46605,45590,638212,4449,428748,3000,5000,3000,3000,1
360872,4789,120000,1,2,1,32,2,0,-1,0,0,0,107269,869348,105262,501652,45590,46204,4449,2731,3000,5000,3000,3000,0
360873,13878,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,794002,3000,5000,3000,3000,1
360874,21705,664485,1,2,1,52,2,0,0,0,0,4,107269,106791,105262,46605,45590,46204,4449,2731,3000,440614,3000,3000,1
360875,4789,789371,1,2,1,52,2,0,0,0,0,0,107269,533477,89695,46605,45590,552040,4449,2731,3000,5000,3000,3000,1
360876,4789,914143,1,2,1,52,2,0,-2,2,0,0,107269,106791,51248,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360877,25851,120000,1,2,1,52,2,0,0,0,0,3,107269,106791,105262,319687,45590,46204,4449,2731,3000,5000,3000,3000,1
360878,4789,835895,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,403507,3000,5000,3000,3000,1
360879,8889,120000,1,2,2,52,2,0,0,-1,0,0,107269,106791,105262,46605,45590,46204,4449,1213751,3000,5000,3000,3000,0
360880,27297,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,629825,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360881,4789,545307,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,269150,3000,5000,3000,3000,0
360882,13871,120000,2,2,1,52,2,0,0,0,0,0,107269,106791,-4873,46605,45590,46204,4449,104194,3000,5000,3000,3000,1
360883,17206,696104,1,2,1,52,2,0,0,0,0,0,107269,106791,796019,46605,45590,-100360,4449,2731,3000,5000,3000,3000,1
360884,17784,878711,1,2,1,52,2,1,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360885,27565,120000,1,2,1,79,2,0,0,0,0,0,107269,252754,105262,46605,640390,46204,4449,2731,3000,5000,3000,3000,1
360886,13860,938044,1,2,1,52,2,6,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360887,28471,120000,1,2,1,52,2,0,0,0,0,0,151807,106791,743259,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360888,18637,120000,1,2,1,24,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,1052881,3000,5000,3000,3000,1
360889,28428,120000,1,2,1,52,2,0,0,0,4,0,107269,963824,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,0
360890,22057,950775,1,2,1,52,2,0,0,0,0,-2,107269,106791,105262,46605,45590,46204,4449,2731,3000,46632,3000,3000,0
360891,4789,120000,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,426571,45590,88446,4449,443955,3000,5000,3000,3000,1
360892,25339,120000,1,2,1,52,2,0,0,2,0,0,107269,106791,237145,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360893,4789,767408,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,751294,4449,877747,493972,5000,3000,3000,1
360894,4789,914357,1,2,1,52,2,0,0,0,0,0,107269,513747,105262,46605,45590,487652,4449,2731,3000,5000,3000,3000,1
360895,20228,120000,1,0,1,52,2,0,0,0,0,0,107269,106791,410382,46605,45590,46204,4449,771722,3000,5000,3000,3000,1
360896,27297,120000,1,6,1,52,2,0,0,0,0,0,107269,106791,629825,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360897,4789,120000,1,2,1,52,2,0,0,4,0,0,107269,106791,474084,46605,598536,866422,4449,2731,3000,5000,3000,3000,1
360898,22057,950775,1,2,1,52,2,0,0,0,0,-2,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360899,25030,120000,1,2,1,52,2,0,0,0,0,0,107269,18698,694773,436707,45590,46204,4449,2731,3000,5000,3000,3000,1
360900,4789,54097,2,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,0
360901,18267,120000,1,2,1,52,2,1,0,0,0,0,107269,525723,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,1
360902,21759,120000,1,2,1,52,2,0,0,0,0,0,107269,480270,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,0
360903,4789,823513,1,4,1,52,2,0,0,0,0,0,107269,901498,105262,46605,45590,46204,4449,2731,3000,5000,3000,3000,0
360904,4789,120000,1,2,1,52,2,0,0,0,0,0,107269,541117,105262,46605,900381,521714,4449,2731,3000,5000,3000,3000,1
360905,24807,621583,1,2,1,52,2,0,0,0,0,0,107269,106791,105262,46605,45590,46204,4449,2731,3000,275667,3000,3000,1
360906,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,281873,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360907,8448,70000,2,2,2,26,0,0,0,2,0,6,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360908,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,143751,5106,4026,755,1029,5303,0
360909,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,49448,1029,5303,0
360910,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,-29227,3003,5106,4026,755,1029,5303,0
360911,8448,235839,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,592435,5106,4026,755,1029,5303,0
360912,8448,70000,2,2,2,27,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,111379,1029,5303,0
360913,8448,70000,2,2,2,26,0,-2,0,0,4,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360914,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,242949,5106,4026,755,1029,245734,0
360915,8448,964148,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360916,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,546656,5106,4026,755,1029,5303,0
360917,8448,70000,2,2,2,42,0,0,0,0,0,0,23409,893443,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360918,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,341361,1029,5303,0
360919,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,271398,5303,0
360920,8448,70000,2,2,2,26,0,7,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,222962,4026,755,1029,5303,0
360921,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,831827,26103,28342,24894,25272,606939,5106,4026,755,1029,5303,0
360922,8448,70000,2,4,2,26,0,0,0,0,0,0,23409,23174,26103,28342,450855,25272,3003,5106,4026,755,1029,5303,0
360923,8448,70000,2,2,2,26,0,0,3,0,0,0,23409,527398,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360924,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,553315,1029,5303,0
360925,8448,70000,2,2,2,26,0,0,0,0,7,0,849603,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360926,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,850647,28342,24894,25272,3003,5106,4026,755,142100,5303,0
360927,8448,70000,2,2,2,57,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360928,22156,70000,2,2,2,26,8,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360929,8448,70000,2,2,2,26,5,0,0,0,0,0,605226,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360930,8448,70000,2,2,2,26,-1,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360931,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,492532,24894,25272,3003,987626,4026,755,1029,5303,0
360932,8448,70000,2,2,1,26,0,0,4,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360933,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,767146,3003,5106,4026,755,1029,5303,0
360934,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,-61330,24894,25272,3003,5106,4026,755,1029,5303,0
360935,8448,70000,2,2,1,26,-2,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360936,8448,70000,2,2,1,26,0,0,0,0,5,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360937,16328,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,611163,3003,5106,4026,755,1029,5303,0
360938,8448,70000,2,2,2,40,0,0,0,0,0,0,23409,23174,26103,28342,161536,25272,3003,5106,4026,755,1029,5303,0
360939,8448,70000,1,2,2,26,0,0,0,0,0,0,23409,303410,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360940,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,183977,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360941,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,198585,26103,28342,24894,25272,3003,5106,4026,755,46852,5303,0
360942,8448,70000,2,2,2,26,0,0,0,0,0,0,800576,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360943,8448,70000,2,2,2,26,0,0,4,0,0,0,23409,23174,26103,28342,24894,25272,366375,5106,4026,755,1029,5303,0
360944,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,762648,4026,755,1029,5303,0
360945,8448,70000,2,2,2,26,0,0,0,0,0,0,356307,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360946,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,864515,5106,4026,755,1029,5303,0
360947,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,109553,1029,5303,0
360948,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,783994,5106,4026,755,1029,5303,0
360949,29149,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,749589,25272,3003,5106,4026,755,1029,5303,0
360950,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,628652,4026,755,1029,5303,0
360951,8448,70000,2,2,2,26,1,0,0,0,0,0,23409,23174,26103,28342,780960,25272,3003,5106,4026,755,1029,5303,0
360952,8448,920981,1,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360953,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,591208,5106,4026,755,1029,5303,0
360954,8448,70000,2,2,2,26,0,2,0,0,0,0,23409,23174,26103,28342,37194,25272,3003,5106,4026,755,1029,5303,0
360955,8448,350137,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,542847,1029,5303,0
360956,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,559963,730959,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360957,8448,70000,2,2,2,31,0,0,0,0,0,0,23409,23174,26103,28342,240585,25272,3003,5106,4026,755,1029,5303,0
360958,8448,70000,2,2,2,26,0,6,0,0,5,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360959,22152,70000,2,2,2,26,3,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360960,8448,435256,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,1105,5303,0
360961,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,343629,-29714,24894,25272,3003,5106,4026,755,1029,5303,0
360962,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,262202,26103,28342,24894,25272,3003,5106,4026,755,1029,5303,0
360963,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,3003,5106,4026,755,220729,5303,0
360964,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,108212,5106,4026,755,1029,5303,0
360965,8448,70000,2,2,2,26,0,0,0,0,0,0,23409,23174,26103,28342,24894,25272,89403,5106,4026,755,1029,5303,0
